STATION,LONGITUDE,LATITUDE,ELEVATION
72790024141.0,-119.51551,47.30777,382.1
72785524114.0,-117.65,47.63333,750.1
72789094197.0,-119.52091,48.46113,397.4
72793024233.0,-122.31442,47.44467,112.5
72785794129.0,-117.11581,46.74376,775.7
72788594266.0,-123.50662,48.12194,83.2
72797624217.0,-122.54069,48.7991,45.9
72785024157.0,-117.52796,47.62168,717.7
72797094240.0,-124.55757,47.93695,56.4
72798594276.0,-123.0264,48.51998,34.2
72792424223.0,-122.89389,46.11667,6.1
72792894263.0,-122.76667,47.48333,135.3
72781024243.0,-120.53488,46.56398,321.0
72781524237.0,-121.3372,47.2767,1206.7
72788324220.0,-120.53135,47.03376,532.5
72698824219.0,-121.16571,45.61901,71.2
72793894274.0,-122.57623,47.26744,88.4
74206024207.0,-122.48333,47.15,98.1
72782724110.0,-119.31459,47.19295,356.3
72793724222.0,-122.28308,47.92322,167.1
72792594227.0,-123.14147,47.23842,84.2
72782594239.0,-120.20124,47.39746,377.5
72794504205.0,-122.15889,48.16056,41.8
72792394225.0,-123.93074,46.97288,4.5
72784524163.0,-119.11816,46.2695,122.1
72792024227.0,-122.90493,46.97371,60.9
72785694176.0,-117.32141,47.68575,594.6
